kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K06674.01,FALSE POSITIVE,1.245342215,234090.0,4.40308,90.34,2341.0,7120.27,6967.0,4.25,1.476,0.0,1178.5,0.728
K06675.01,FALSE POSITIVE,0.604755462,334.5,1.3741,1.29,1598.0,1534.24,4842.0,4.616,0.726,0.0,40.3,0.039
K06676.01,CANDIDATE,439.21978,342.3,9.392,1.81,266.0,1.18,6553.0,4.479,0.962,,10.3,0.2863
K06677.01,FALSE POSITIVE,8.144135648,87881.0,8.88876,56.52,1491.0,1169.67,7605.0,4.123,1.862,0.0,6113.7,0.222
K06678.01,FALSE POSITIVE,4.200205777,52881.0,5.4877,47.31,1737.0,2150.58,6873.0,4.051,1.923,,966.1,0.6715
K06679.01,FALSE POSITIVE,6.091954982,36700.0,3.60482,26.96,1036.0,272.7,6063.0,4.424,0.913,0.0,1508.7,0.953
K06680.01,CANDIDATE,5.52507406,61.5,2.565,0.8,1028.0,263.79,5600.0,4.378,1.037,0.913,9.8,0.152
K06681.01,FALSE POSITIVE,485.52409,4147.0,11.04,6149.09,191.0,0.31,5227.0,4.584,0.8,,10.8,71.3346
K06682.01,FALSE POSITIVE,0.76647343,199900.0,2.46345,42.33,1628.0,1654.36,5297.0,4.594,0.722,0.0,545.0,0.766
K06683.01,FALSE POSITIVE,5.2439783,93.5,10.1,1.03,1068.0,307.32,6029.0,4.481,0.956,0.0,13.1,0.82
K06684.01,FALSE POSITIVE,5.2436639,93.5,10.53,0.88,1059.0,296.41,6212.0,4.537,0.862,0.0,10.4,0.66
K06685.01,FALSE POSITIVE,5.2438182,128.7,8.25,0.75,743.0,72.18,4634.0,4.597,0.689,,12.2,0.1687
K06686.01,FALSE POSITIVE,1.25338826,44.7,3.828,0.64,1651.0,1750.61,5869.0,4.513,0.942,0.0,14.8,0.469
K06687.01,CANDIDATE,1.002591901,143.2,1.247,0.87,1391.0,884.21,4893.0,4.574,0.739,0.973,11.1,0.312
